date,areaType,areaCode,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
30/10/2020,utla,E06000033,Southend-on-Sea,1453,15
30/10/2020,utla,N09000005,Derry City and Strabane,5423,68
30/10/2020,utla,E08000023,South Tyneside,3658,72
30/10/2020,utla,E06000044,Portsmouth,2512,68
30/10/2020,utla,E06000035,Medway,2142,59
30/10/2020,utla,S12000049,Glasgow City,13751,264
30/10/2020,utla,E06000027,Torbay,1015,32
30/10/2020,utla,E09000019,Islington,2229,41
30/10/2020,utla,E08000016,Barnsley,7039,189
30/10/2020,utla,E09000027,Richmond upon Thames,2011,33
30/10/2020,utla,E08000008,Tameside,7416,170
30/10/2020,utla,E10000019,Lincolnshire,7689,234
30/10/2020,utla,E06000037,West Berkshire,1056,30
30/10/2020,utla,E08000019,Sheffield,18937,414
30/10/2020,utla,W06000011,Swansea,4708,165
30/10/2020,utla,E06000054,Wiltshire,2965,56
30/10/2020,utla,N09000008,Mid and East Antrim,1785,55
30/10/2020,utla,E06000046,Isle of Wight,625,8
30/10/2020,utla,E08000036,Wakefield,8000,252
30/10/2020,utla,E10000025,Oxfordshire,6955,134
30/10/2020,utla,E06000041,Wokingham,1300,28
30/10/2020,utla,S12000017,Highland,617,14
30/10/2020,utla,W06000009,Pembrokeshire,598,9
30/10/2020,utla,E09000005,Brent,3937,55
30/10/2020,utla,E08000033,Calderdale,4764,116
30/10/2020,utla,S12000039,West Dunbartonshire,1496,25
30/10/2020,utla,E06000034,Thurrock,1625,31
30/10/2020,utla,N09000002,"Armagh City, Banbridge and Craigavon",3351,64
30/10/2020,utla,E10000007,Derbyshire,12222,424
30/10/2020,utla,E09000024,Merton,2080,39
30/10/2020,utla,E08000011,Knowsley,6403,67
30/10/2020,utla,E06000023,"Bristol, City of",8324,301
30/10/2020,utla,E09000012,Hackney and City of London,3527,52
30/10/2020,utla,E06000042,Milton Keynes,2083,55
30/10/2020,utla,E06000057,Northumberland,5287,97
30/10/2020,utla,E06000055,Bedford,2335,28
30/10/2020,utla,E09000013,Hammersmith and Fulham,2517,40
30/10/2020,utla,E08000027,Dudley,4647,174
30/10/2020,utla,E06000059,Dorset,1974,57
30/10/2020,utla,E10000013,Gloucestershire,4390,118
30/10/2020,utla,W06000023,Powys,925,18
30/10/2020,utla,E10000011,East Sussex,3150,45
30/10/2020,utla,S12000019,Midlothian,1031,14
30/10/2020,utla,E06000009,Blackpool,3774,66
30/10/2020,utla,E10000027,Somerset,2855,68
30/10/2020,utla,W06000012,Neath Port Talbot,2457,63
30/10/2020,utla,E08000026,Coventry,5285,103
30/10/2020,utla,E09000014,Haringey,2792,69
30/10/2020,utla,E10000014,Hampshire,10565,247
30/10/2020,utla,E06000016,Leicester,11585,187
30/10/2020,utla,E06000021,Stoke-on-Trent,4578,168
30/10/2020,utla,E10000024,Nottinghamshire,14620,444
30/10/2020,utla,S12000028,South Ayrshire,1169,17
30/10/2020,utla,E06000038,Reading,1735,45
30/10/2020,utla,W06000019,Blaenau Gwent,1612,42
30/10/2020,utla,E08000022,North Tyneside,4086,91
30/10/2020,utla,N09000003,Belfast,9508,127
30/10/2020,utla,W06000010,Carmarthenshire,2052,46
30/10/2020,utla,E09000004,Bexley,2462,58
30/10/2020,utla,E09000018,Hounslow,3463,70
30/10/2020,utla,E06000003,Redcar and Cleveland,2567,84
30/10/2020,utla,E06000013,North Lincolnshire,2288,69
30/10/2020,utla,W06000018,Caerphilly,3110,81
30/10/2020,utla,E10000006,Cumbria,6880,112
30/10/2020,utla,E06000006,Halton,3561,37
30/10/2020,utla,E08000004,Oldham,10028,313
30/10/2020,utla,E06000020,Telford and Wrekin,2122,71
30/10/2020,utla,E08000031,Wolverhampton,4544,127
30/10/2020,utla,N09000011,Ards and North Down,1716,32
30/10/2020,utla,E10000017,Lancashire,33848,611
30/10/2020,utla,E09000016,Havering,3137,79
30/10/2020,utla,E08000034,Kirklees,11071,351
30/10/2020,utla,E08000014,Sefton,8226,124
30/10/2020,utla,E09000028,Southwark,3454,63
30/10/2020,utla,E06000039,Slough,2002,53
30/10/2020,utla,E10000018,Leicestershire,11335,252
30/10/2020,utla,E06000058,"Bournemouth, Christchurch and Poole",4340,103
30/10/2020,utla,N09000001,Antrim and Newtownabbey,2476,35
30/10/2020,utla,S12000045,East Dunbartonshire,1772,51
30/10/2020,utla,E08000025,Birmingham,24947,541
30/10/2020,utla,E09000006,Bromley,3223,55
30/10/2020,utla,E10000016,Kent,13762,260
30/10/2020,utla,E09000002,Barking and Dagenham,2417,48
30/10/2020,utla,E09000032,Wandsworth,3520,52
30/10/2020,utla,E09000022,Lambeth,3737,78
30/10/2020,utla,E10000028,Staffordshire,13091,488
30/10/2020,utla,E09000033,Westminster,2636,75
30/10/2020,utla,E10000002,Buckinghamshire,4405,125
30/10/2020,utla,E10000021,Northamptonshire,8723,165
30/10/2020,utla,E06000008,Blackburn with Darwen,6684,179
30/10/2020,utla,E08000005,Rochdale,8579,199
30/10/2020,utla,S12000023,Orkney Islands,33,0
30/10/2020,utla,W06000015,Cardiff,7924,190
30/10/2020,utla,S12000029,South Lanarkshire,6563,132
